order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_percent,subtotal,shipping_cost,tax_amount,total_amount,payment_method,order_status,shipping_method,sales_channel,coupon_code,delivery_days,customer_rating
81938871,372597,2025-08-25,Sports,Dumbbell Set,3,123.03,2,369.09,0.0,72.34,0.0,Apple Pay,Cancelled,Standard,Website,VIP20,,
61899015,799268,2025-09-18,Beauty,Makeup Kit,3,61.47,12,184.41,0.0,32.46,194.74,Credit Card,Delivered,Standard,Website,FREESHIP,4,5
38225660,571089,2025-07-22,Fashion,Running Shoes,3,99.91,19,299.73,0.0,48.56,291.34,Credit Card,Delivered,Pickup,Website,,2,4
52970107,955069,2025-07-14,Electronics,Smart Watch,3,119.16,2,357.48,0.0,52.55,402.88,Credit Card,Delivered,Standard,Website,,3,5
91382111,833845,2024-05-17,Electronics,USB-C Hub,1,44.81,24,44.81,5.9,6.81,0.0,Credit Card,Cancelled,Standard,Marketplace,FREESHIP,,
56060524,422958,2025-10-08,Beauty,Perfume,1,100.31,20,100.31,0.0,16.05,96.3,Credit Card,Delivered,Pickup,Mobile App,SAVE15,1,5
55515566,775778,2025-12-18,Home & Kitchen,Air Fryer,1,135.18,4,135.18,0.0,25.95,155.72,PayPal,Delivered,Standard,Marketplace,,6,4
83038688,940815,2025-08-11,Beauty,Perfume,1,90.73,15,90.73,5.9,15.42,98.44,Google Pay,Delivered,Standard,Mobile App,VIP20,5,4
90203162,633842,2025-11-16,Electronics,USB-C Hub,2,47.19,13,94.38,5.9,6.32,94.33,Credit Card,Delivered,Standard,Mobile App,,3,3
63572784,726493,2025-05-26,Beauty,Skin Care Set,2,83.1,12,166.2,0.0,11.26,157.52,PayPal,Delivered,Standard,Mobile App,VIP20,3,4
92243121,452641,2025-10-02,Home & Kitchen,Coffee Maker,1,107.69,12,107.69,5.9,18.95,119.62,Bank Transfer,Delivered,Standard,Website,,3,5
41677774,463147,2025-09-24,Home & Kitchen,Air Fryer,1,123.46,0,123.46,0.0,24.69,148.15,Bank Transfer,Delivered,Standard,Website,,5,4
19219722,940815,2025-10-08,Electronics,Wireless Headphones,1,104.69,20,104.69,5.9,16.75,106.4,Apple Pay,Delivered,Standard,Website,WELCOME10,7,3
69346183,799268,2025-07-04,Home & Kitchen,Desk Lamp,2,48.49,14,96.98,5.9,16.68,105.98,PayPal,Delivered,Standard,Mobile App,,3,5
70846991,444949,2024-05-21,Fashion,Running Shoes,5,109.13,7,545.65,0.0,101.49,608.94,Credit Card,Delivered,Pickup,Mobile App,VIP20,1,3
95404636,433309,2025-12-31,Fashion,Running Shoes,1,112.03,14,112.03,5.9,19.27,121.52,Credit Card,Delivered,Standard,Website,,3,4
78680216,766181,2025-11-04,Books & Office,Office Chair,1,208.95,19,208.95,0.0,33.85,203.1,Credit Card,Delivered,Standard,Mobile App,SAVE15,6,5
57026246,889635,2025-05-22,Sports,Dumbbell Set,3,116.01,22,348.03,0.0,54.29,325.75,Bank Transfer,Delivered,Standard,Website,,3,4
29507589,536837,2025-09-01,Home & Kitchen,Cookware Set,1,168.98,5,168.98,0.0,32.11,192.64,Credit Card,Delivered,Standard,Mobile App,VIP20,5,4
98739046,334627,2024-12-01,Fashion,Backpack,1,73.82,29,73.82,12.9,10.48,75.79,Apple Pay,Delivered,Express,Website,VIP20,1,4
88174148,597105,2025-10-09,Electronics,USB-C Hub,2,47.85,12,95.7,12.9,16.84,113.96,PayPal,Delivered,Express,Mobile App,SAVE15,1,5
67004877,129611,2025-05-17,Fashion,Running Shoes,1,114.21,15,114.21,5.9,19.42,122.4,Credit Card,Delivered,Standard,Website,SAVE15,5,5
27915795,703633,2025-09-29,Sports,Dumbbell Set,1,106.77,5,106.77,5.9,20.29,127.62,Credit Card,Delivered,Standard,Website,WELCOME10,5,5
43596193,166447,2025-10-19,Beauty,Electric Toothbrush,2,75.74,15,151.48,0.0,25.75,154.51,Credit Card,Delivered,Standard,Website,,5,5
61399988,593958,2025-08-23,Beauty,Hair Dryer,1,62.56,15,62.56,5.9,10.64,69.72,Credit Card,Delivered,Standard,Mobile App,,3,5
39529181,243318,2025-12-21,Sports,Fitness Tracker,1,90.34,13,90.34,5.9,15.72,100.22,PayPal,Delivered,Standard,Mobile App,,6,
98610572,222579,2025-04-30,Fashion,Classic Jeans,1,68.73,2,68.73,5.9,13.47,86.73,Apple Pay,Delivered,Standard,Mobile App,FREESHIP,4,5
51772511,985158,2025-08-02,Books & Office,Data Analytics Book,3,41.03,2,123.09,12.9,24.13,157.66,PayPal,Delayed,Express,Website,,2,4
15898412,455270,2025-02-16,Fashion,Running Shoes,2,118.43,19,236.86,0.0,38.37,230.23,Bank Transfer,Delivered,Pickup,Mobile App,,1,4
60322952,815011,2025-05-30,Electronics,USB-C Hub,3,44.94,10,134.82,0.0,24.27,145.61,Credit Card,Returned,Standard,Marketplace,,6,
39081984,743949,2025-01-23,Home & Kitchen,Blender,1,91.64,16,91.64,5.9,5.93,88.81,Apple Pay,Delivered,Standard,Mobile App,WELCOME10,5,4
47065616,152133,2025-12-18,Electronics,Smart Watch,4,136.4,14,545.6,0.0,93.84,563.06,Credit Card,Delivered,Standard,Mobile App,VIP20,4,4
93915249,616780,2025-08-05,Electronics,Bluetooth Speaker,2,67.14,12,134.28,0.0,23.63,141.8,Credit Card,Delivered,Standard,Mobile App,,5,3
61501091,684041,2025-12-26,Electronics,Bluetooth Speaker,2,73.48,14,146.96,12.9,25.28,164.57,Credit Card,Delivered,Express,Marketplace,,3,3
97482280,900448,2025-12-10,Fashion,Classic Jeans,1,68.92,26,68.92,5.9,7.65,64.55,Credit Card,Delivered,Standard,Mobile App,,4,5
19423631,401624,2025-08-08,Home & Kitchen,Blender,3,78.42,0,235.26,0.0,47.05,282.31,Apple Pay,Delivered,Standard,Website,,3,4
64476390,429479,2025-10-14,Home & Kitchen,Blender,2,80.47,27,160.94,0.0,23.5,140.99,PayPal,Delivered,Standard,Website,WELCOME10,4,5
34550944,784382,2025-12-30,Beauty,Makeup Kit,2,66.25,4,132.5,0.0,25.44,152.64,Credit Card,Delivered,Standard,Website,,5,4
72517670,249658,2025-06-15,Sports,Fitness Tracker,1,106.16,10,106.16,0.0,19.11,114.65,PayPal,Returned,Pickup,Website,,2,
50284542,888971,2025-11-11,Home & Kitchen,Coffee Maker,1,99.49,14,99.49,0.0,12.83,98.39,Credit Card,Delivered,Pickup,Website,WELCOME10,1,4
66992445,888971,2025-05-30,Electronics,Wireless Headphones,1,82.24,25,82.24,5.9,9.25,76.83,Credit Card,Delivered,Standard,Website,VIP20,5,5
80883678,947580,2024-09-08,Beauty,Electric Toothbrush,1,72.87,0,72.87,0.0,14.57,87.44,Credit Card,Delivered,Pickup,Mobile App,,1,4
12974183,900924,2024-10-29,Electronics,Wireless Headphones,2,78.08,5,156.16,12.9,29.67,190.92,Bank Transfer,Delivered,Express,Website,WELCOME10,1,3
59194461,807287,2025-03-07,Sports,Dumbbell Set,1,130.16,24,130.16,12.9,19.78,0.0,Apple Pay,Cancelled,Express,Mobile App,,,
93512562,323345,2024-06-28,Fashion,Winter Jacket,1,160.31,5,160.31,0.0,30.46,182.75,Credit Card,Delivered,Standard,Marketplace,WELCOME10,3,5
45567312,866265,2024-10-20,Fashion,Winter Jacket,1,179.84,2,179.84,12.9,35.25,224.39,Credit Card,Delivered,Express,Mobile App,,2,4
20318619,657545,2024-11-17,Fashion,Winter Jacket,1,192.56,6,192.56,0.0,36.2,217.21,Apple Pay,Delivered,Pickup,Mobile App,FREESHIP,1,
35487154,503699,2025-01-05,Books & Office,Data Analytics Book,1,41.14,24,41.14,5.9,6.25,43.42,Google Pay,Delivered,Standard,Website,WELCOME10,4,5
42360072,363814,2025-12-16,Home & Kitchen,Cookware Set,1,165.06,18,165.06,0.0,27.07,162.42,Google Pay,Delivered,Standard,Mobile App,,4,5
21514406,149113,2024-12-08,Home & Kitchen,Blender,2,76.78,21,153.56,12.9,24.26,158.47,PayPal,Delivered,Express,Website,,1,4
15892067,521348,2025-12-26,Fashion,Cotton Hoodie,3,63.0,19,189.0,0.0,30.62,183.71,Bank Transfer,Delivered,Standard,Website,WELCOME10,3,5
58027391,249557,2025-07-02,Fashion,Running Shoes,1,99.61,2,99.61,0.0,19.52,117.14,Google Pay,Delivered,Pickup,Mobile App,FREESHIP,2,4
32044871,549554,2025-11-04,Sports,Dumbbell Set,2,102.09,8,204.18,0.0,37.57,225.42,Google Pay,Delivered,Standard,Marketplace,SAVE15,5,3
24303926,722493,2025-08-02,Beauty,Hair Dryer,4,69.67,20,278.68,0.0,44.59,267.53,Credit Card,Delivered,Standard,Marketplace,,5,5
58529799,888971,2025-05-10,Beauty,Electric Toothbrush,1,80.81,5,80.81,5.9,11.52,94.19,Google Pay,Returned,Standard,Website,FREESHIP,3,
71759562,913479,2024-09-02,Electronics,Smart Watch,2,150.81,15,301.62,0.0,51.28,307.66,Bank Transfer,Delivered,Pickup,Mobile App,,1,5
91811316,874848,2025-05-03,Sports,Resistance Bands,1,30.51,30,30.51,0.0,4.27,25.63,Credit Card,Delivered,Pickup,Mobile App,SAVE15,1,5
64448250,319377,2024-09-16,Electronics,USB-C Hub,1,45.81,14,45.81,12.9,7.88,60.18,Apple Pay,Delivered,Express,Mobile App,,1,3
41829421,736777,2025-11-07,Books & Office,Data Analytics Book,1,42.84,29,42.84,0.0,6.08,36.5,Credit Card,Delivered,Pickup,Website,,3,5
20016921,871400,2025-11-24,Sports,Fitness Tracker,2,98.11,31,196.22,0.0,27.08,162.47,Credit Card,Delivered,Standard,Marketplace,FREESHIP,5,
46787031,317282,2025-04-19,Beauty,Perfume,1,100.7,19,100.7,5.9,16.31,103.78,Credit Card,Delivered,Standard,Mobile App,,5,4
64941789,295940,2025-01-26,Sports,Cycling Helmet,1,71.86,6,71.86,5.9,13.51,86.96,Credit Card,Delivered,Standard,Mobile App,VIP20,3,5
14007706,391759,2025-06-23,Fashion,Backpack,1,67.79,2,67.79,0.0,9.96,76.39,Credit Card,Delivered,Pickup,Marketplace,VIP20,1,4
98426136,754716,2024-10-29,Sports,Resistance Bands,3,29.8,0,89.4,5.9,17.88,113.18,Apple Pay,Delivered,Standard,Website,,4,4
35016582,295623,2025-12-16,Home & Kitchen,Air Fryer,1,152.51,9,152.51,0.0,10.69,149.47,Credit Card,Delivered,Standard,Mobile App,,4,5
30334769,743949,2025-06-23,Fashion,Winter Jacket,2,199.11,14,398.22,0.0,26.37,368.84,Credit Card,Delivered,Standard,Mobile App,,4,4
19630745,499852,2025-03-01,Beauty,Electric Toothbrush,1,73.91,27,73.91,5.9,10.79,70.64,Credit Card,Delivered,Standard,Website,,5,3
35196027,357823,2024-02-22,Home & Kitchen,Coffee Maker,1,106.12,20,106.12,0.0,12.74,97.64,Bank Transfer,Delivered,Pickup,Website,WELCOME10,1,5
78577473,746525,2025-11-19,Home & Kitchen,Desk Lamp,1,48.02,14,48.02,5.9,8.26,55.46,Credit Card,Delivered,Standard,Mobile App,FREESHIP,4,4
72925834,422131,2024-10-20,Beauty,Perfume,2,101.79,5,203.58,12.9,38.68,244.98,PayPal,Delivered,Express,Mobile App,WELCOME10,1,3
76775195,927673,2025-07-17,Home & Kitchen,Coffee Maker,1,92.4,9,92.4,5.9,16.82,106.8,Apple Pay,Delayed,Standard,Website,,7,3
42861329,322768,2025-04-21,Sports,Dumbbell Set,1,110.22,7,110.22,5.9,20.5,128.9,Credit Card,Delivered,Standard,Mobile App,,3,4
54227315,473815,2025-11-15,Sports,Dumbbell Set,1,106.05,4,106.05,0.0,15.27,117.08,Bank Transfer,Delivered,Pickup,Mobile App,,1,4
67647391,265833,2025-11-21,Beauty,Makeup Kit,1,59.61,16,59.61,5.9,10.01,65.98,Bank Transfer,Delivered,Standard,Website,FREESHIP,4,5
77035738,688526,2025-09-04,Beauty,Perfume,1,99.2,5,99.2,5.9,18.85,118.99,Bank Transfer,Delivered,Standard,Website,,2,5
90934653,688526,2025-11-02,Books & Office,Data Analytics Book,3,41.61,4,124.83,0.0,23.97,143.81,Apple Pay,Delayed,Standard,Website,VIP20,7,3
97548404,433309,2025-12-22,Home & Kitchen,Coffee Maker,2,80.86,29,161.72,0.0,22.96,137.78,Apple Pay,Delivered,Standard,Website,,6,5
86887303,593958,2025-06-10,Books & Office,Notebook Set,5,22.85,20,114.25,5.9,18.28,115.58,Credit Card,Delayed,Standard,Website,,8,4
30707919,649861,2024-12-06,Books & Office,Data Analytics Book,1,45.1,4,45.1,12.9,8.66,64.86,Google Pay,Delivered,Express,Mobile App,SAVE15,1,4
89514367,100813,2025-10-20,Sports,Yoga Mat,1,37.78,15,37.78,12.9,6.42,51.43,Apple Pay,Delivered,Express,Mobile App,VIP20,2,4
73380531,395181,2025-08-16,Beauty,Skin Care Set,2,84.0,5,168.0,0.0,31.92,191.52,Credit Card,Delivered,Standard,Marketplace,VIP20,4,5
40477354,352457,2025-09-07,Home & Kitchen,Coffee Maker,3,106.62,22,319.86,0.0,49.9,299.39,Credit Card,Delivered,Standard,Website,VIP20,6,3
44270243,481750,2025-12-06,Electronics,Mechanical Keyboard,1,105.79,14,105.79,12.9,18.2,122.08,Credit Card,Delayed,Express,Marketplace,FREESHIP,6,4
75252591,740180,2025-12-15,Sports,Dumbbell Set,2,123.42,19,246.84,0.0,39.99,239.93,Credit Card,Delivered,Standard,Website,,5,5
39112365,801451,2025-12-05,Home & Kitchen,Air Fryer,4,142.87,4,571.48,0.0,82.29,630.91,Apple Pay,Delivered,Pickup,Mobile App,WELCOME10,1,5
22555400,119473,2025-10-24,Electronics,Mechanical Keyboard,1,103.95,10,103.95,5.9,18.71,0.0,Apple Pay,Cancelled,Standard,Mobile App,,,
66874280,627996,2024-12-01,Home & Kitchen,Air Fryer,1,136.34,11,136.34,0.0,18.2,139.54,Credit Card,Delivered,Standard,Marketplace,,7,4
65838043,547877,2025-01-25,Fashion,Classic Jeans,1,67.81,14,67.81,0.0,11.66,69.98,Bank Transfer,Delivered,Pickup,Mobile App,,1,5
32971883,773617,2024-01-27,Beauty,Electric Toothbrush,1,77.41,7,77.41,0.0,10.8,82.79,Credit Card,Delivered,Pickup,Website,WELCOME10,1,4
17226583,847964,2025-10-13,Books & Office,Office Chair,2,212.41,5,424.82,0.0,80.72,0.0,Apple Pay,Cancelled,Standard,Website,,,
73846339,492888,2025-12-04,Electronics,USB-C Hub,2,48.63,4,97.26,5.9,18.67,117.94,Apple Pay,Delivered,Standard,Mobile App,,3,4
62897508,694107,2025-12-02,Home & Kitchen,Cookware Set,1,187.65,21,187.65,0.0,29.65,177.89,Credit Card,Delivered,Standard,Mobile App,,3,5
90218402,866265,2025-06-07,Electronics,Wireless Headphones,1,63.18,27,63.18,5.9,9.22,61.24,Credit Card,Delivered,Standard,Website,,6,4
21505810,867969,2024-08-07,Fashion,Winter Jacket,1,184.21,29,184.21,0.0,26.16,156.95,PayPal,Delivered,Standard,Mobile App,FREESHIP,5,4
55483969,178261,2025-05-12,Fashion,Winter Jacket,1,175.46,2,175.46,0.0,34.39,206.34,Credit Card,Delivered,Standard,Mobile App,WELCOME10,4,3
81108533,218807,2025-03-01,Books & Office,Office Chair,2,228.56,20,457.12,12.9,73.14,451.74,Bank Transfer,Delivered,Express,Marketplace,,1,3
60371502,853843,2024-06-05,Electronics,USB-C Hub,1,44.22,12,44.22,5.9,7.78,52.59,PayPal,Delivered,Standard,Website,WELCOME10,3,4
58262718,914638,2025-05-16,Home & Kitchen,Cookware Set,1,148.88,7,148.88,0.0,27.69,166.15,PayPal,Delivered,Standard,Website,,5,5
29424287,178261,2025-08-28,Home & Kitchen,Desk Lamp,2,50.83,2,101.66,0.0,19.93,119.56,Apple Pay,Delivered,Pickup,Website,SAVE15,1,5
58262988,238295,2025-11-20,Sports,Dumbbell Set,3,128.09,4,384.27,0.0,73.78,442.68,PayPal,Delivered,Pickup,Website,,1,4
78078868,250538,2025-06-13,Beauty,Hair Dryer,2,61.02,12,122.04,0.0,21.48,128.88,,Delivered,Standard,Website,,5,3
78498590,711699,2025-12-09,Electronics,Wireless Headphones,1,90.74,9,90.74,12.9,6.36,101.83,Credit Card,Delivered,Express,Website,,1,3
16603821,272038,2025-06-16,Home & Kitchen,Blender,1,80.05,5,80.05,0.0,15.21,0.0,Apple Pay,Cancelled,Pickup,Website,VIP20,,
51084355,152133,2025-05-18,Beauty,Electric Toothbrush,1,73.91,10,73.91,5.9,13.3,85.72,PayPal,Delivered,Standard,Website,SAVE15,5,4
61537191,343698,2025-01-08,Sports,Yoga Mat,1,38.95,12,38.95,5.9,6.86,47.04,Apple Pay,Delivered,Standard,Website,VIP20,2,4
78252118,634219,2025-12-28,Electronics,USB-C Hub,2,44.82,4,89.64,5.9,17.21,109.16,Bank Transfer,Delivered,Standard,Website,VIP20,5,4
73647297,949242,2025-11-06,Beauty,Hair Dryer,1,63.16,34,63.16,12.9,8.34,62.93,Credit Card,Delivered,Express,Website,VIP20,2,4
50542774,226741,2025-08-10,Books & Office,Monitor Stand,2,43.66,0,87.32,0.0,17.46,104.78,Credit Card,Returned,Pickup,Website,,1,
95661654,433309,2025-12-29,Electronics,Wireless Headphones,2,100.0,24,200.0,12.9,30.4,195.3,Credit Card,Delivered,Express,Mobile App,VIP20,2,4
78091047,477026,2024-04-09,Home & Kitchen,Air Fryer,1,136.89,20,136.89,0.0,21.9,131.41,Credit Card,Delivered,Standard,Website,,5,5
16413461,527499,2025-06-03,Electronics,USB-C Hub,4,44.97,15,179.88,0.0,30.58,183.48,Bank Transfer,Delivered,Standard,Website,WELCOME10,2,5
51265765,136522,2025-09-30,Books & Office,Data Analytics Book,2,45.67,17,91.34,5.9,15.16,96.87,PayPal,Delivered,Standard,Marketplace,,3,3
60139475,906510,2025-07-31,Beauty,Hair Dryer,1,67.07,19,67.07,5.9,4.18,64.41,PayPal,Delivered,Standard,Website,FREESHIP,4,5
89572380,648698,2025-11-04,Electronics,Smart Watch,1,127.05,4,127.05,0.0,18.3,140.27,Credit Card,Delivered,Pickup,Mobile App,,1,
11804981,791320,2025-02-20,Home & Kitchen,Air Fryer,1,142.18,7,142.18,0.0,26.45,158.68,PayPal,Delivered,Standard,Mobile App,,6,5
57296898,328733,2025-03-24,Fashion,Cotton Hoodie,1,61.81,27,61.81,5.9,9.02,60.04,PayPal,Delayed,Standard,Mobile App,WELCOME10,5,4
43248446,233651,2025-11-07,Electronics,USB-C Hub,2,42.2,4,84.4,5.9,16.2,103.12,Credit Card,Delivered,Standard,Website,FREESHIP,4,5
18375640,951634,2025-05-02,Home & Kitchen,Desk Lamp,1,55.75,14,55.75,5.9,9.59,63.44,Bank Transfer,Delivered,Standard,Mobile App,,6,4
88222887,958830,2025-12-14,Electronics,USB-C Hub,4,43.87,4,175.48,12.9,12.97,194.33,PayPal,Delivered,Express,Website,VIP20,3,4
71199801,114582,2025-06-14,Electronics,USB-C Hub,3,40.21,12,120.63,12.9,21.23,140.28,Bank Transfer,Delivered,Express,Mobile App,,3,5
63087148,560426,2025-07-04,Fashion,Winter Jacket,1,180.42,4,180.42,0.0,34.64,207.84,Google Pay,Delivered,Standard,Mobile App,,5,3
83485237,801451,2025-12-30,Home & Kitchen,Coffee Maker,4,100.92,19,403.68,0.0,49.05,376.03,Credit Card,Delivered,Standard,Mobile App,,2,4
82978766,657545,2025-11-06,Books & Office,Office Chair,2,217.68,16,435.36,12.9,73.14,451.74,Credit Card,Delivered,Express,Mobile App,,2,4
28493120,825650,2025-08-24,Electronics,Smart Watch,1,136.97,17,136.97,12.9,22.74,149.33,,Delivered,Express,Mobile App,FREESHIP,1,3
88019584,167359,2025-03-04,Electronics,Smart Watch,2,152.79,4,305.58,12.9,58.67,364.93,Bank Transfer,Delivered,Express,Website,VIP20,2,5
14467415,869875,2025-07-25,Electronics,Mechanical Keyboard,1,108.24,12,108.24,5.9,19.05,120.2,PayPal,Delivered,Standard,Mobile App,,4,5
17410957,443824,2025-06-28,Electronics,Smart Watch,1,151.6,4,151.6,0.0,29.11,174.65,Credit Card,Delivered,Standard,Mobile App,FREESHIP,2,5
57853801,588766,2025-10-07,Home & Kitchen,Desk Lamp,4,49.65,10,198.6,0.0,35.75,214.49,PayPal,Delivered,Standard,Website,WELCOME10,4,3
39132486,676297,2025-01-17,Fashion,Running Shoes,1,111.91,11,111.91,5.9,7.67,113.17,Bank Transfer,Delivered,Standard,Mobile App,VIP20,4,5
88799163,608992,2025-07-04,Beauty,Perfume,2,88.39,17,176.78,0.0,29.35,176.08,Google Pay,Delivered,Standard,Website,,5,5
81140453,284211,2025-12-18,Beauty,Perfume,1,80.35,9,80.35,12.9,14.62,100.64,Credit Card,Delivered,Express,Website,SAVE15,2,3
75319677,990071,2024-11-11,Beauty,Perfume,2,102.85,14,205.7,0.0,35.38,212.28,Credit Card,Delivered,Standard,Website,WELCOME10,5,5
82648345,248706,2024-10-27,Fashion,Winter Jacket,1,179.19,7,179.19,0.0,33.33,199.98,PayPal,Delivered,Pickup,Website,WELCOME10,1,5
71391153,527499,2024-10-14,Books & Office,Ergonomic Mouse,1,46.38,5,46.38,5.9,8.81,58.77,Bank Transfer,Delivered,Standard,Website,SAVE15,7,3
73008615,681133,2024-08-04,Electronics,Smart Watch,1,134.94,32,134.94,0.0,13.76,105.52,Credit Card,Delivered,Pickup,Website,SAVE15,2,3
63255750,287149,2025-06-15,Fashion,Classic Jeans,2,76.47,12,152.94,0.0,26.92,161.51,PayPal,Delivered,Standard,Website,SAVE15,4,5
45799805,656035,2025-08-29,Fashion,Cotton Hoodie,2,63.03,10,126.06,0.0,22.69,136.14,Apple Pay,Delivered,Standard,Mobile App,WELCOME10,3,5
93479108,771111,2025-05-17,Fashion,Running Shoes,1,122.55,17,122.55,0.0,20.34,122.06,PayPal,Delivered,Standard,Mobile App,VIP20,5,4
82880654,981921,2024-11-10,Fashion,Winter Jacket,1,187.61,6,187.61,0.0,35.27,211.62,PayPal,Delivered,Pickup,Mobile App,SAVE15,1,4
73766616,920398,2025-10-14,Books & Office,Office Chair,1,210.77,15,210.77,0.0,35.83,214.98,Credit Card,Delivered,Standard,Website,,3,5
83474353,883140,2024-10-02,Electronics,Mechanical Keyboard,1,104.06,22,104.06,5.9,16.23,103.3,Bank Transfer,Delivered,Standard,Mobile App,WELCOME10,5,5
98541782,921568,2025-02-07,Electronics,Bluetooth Speaker,1,69.39,9,69.39,12.9,12.63,88.67,Google Pay,Delivered,Express,Mobile App,SAVE15,2,4
11436689,394335,2025-03-21,Sports,Dumbbell Set,1,117.57,27,117.57,5.9,17.17,108.9,Credit Card,Delivered,Standard,Website,FREESHIP,5,4
75639058,923517,2025-07-04,Books & Office,Office Chair,1,206.98,14,206.98,12.9,35.6,226.5,Bank Transfer,Delivered,Express,Website,VIP20,1,5
50065891,463147,2025-09-18,Beauty,Hair Dryer,2,73.41,10,146.82,0.0,26.43,158.57,Apple Pay,Delivered,Standard,Website,,3,5
75102461,247992,2025-01-18,Fashion,Winter Jacket,1,170.39,2,170.39,12.9,33.4,213.28,Bank Transfer,Delayed,Express,Mobile App,FREESHIP,4,2
77784863,888971,2025-11-14,Fashion,Backpack,2,67.99,24,135.98,0.0,15.5,118.84,Google Pay,Delivered,Standard,Website,VIP20,5,4
73952470,272038,2025-04-12,Electronics,Smart Watch,1,142.38,0,142.38,0.0,28.48,170.86,Credit Card,Delivered,Pickup,Website,,1,4
79233567,487033,2025-07-05,Electronics,Wireless Headphones,1,86.42,12,86.42,5.9,15.21,97.16,Apple Pay,Delivered,Standard,Website,FREESHIP,5,3
37047905,990071,2025-12-20,Beauty,Hair Dryer,2,72.14,24,144.28,12.9,21.93,144.48,Credit Card,Delivered,Express,Website,,2,5
48705680,322264,2024-08-26,Books & Office,Ergonomic Mouse,1,46.98,5,46.98,5.9,8.93,59.46,Bank Transfer,Delivered,Standard,Website,WELCOME10,6,5
92481007,152133,2024-11-18,Books & Office,Ergonomic Mouse,1,52.48,4,52.48,12.9,10.08,73.36,Credit Card,Delivered,Express,Mobile App,VIP20,1,4
73048603,522620,2025-10-04,Fashion,Cotton Hoodie,1,62.87,5,62.87,5.9,4.6,70.23,Credit Card,Delayed,Standard,Mobile App,,8,3
38832715,167359,2025-03-24,Electronics,Bluetooth Speaker,1,68.93,9,68.93,5.9,12.55,81.18,PayPal,Delivered,Standard,Website,,3,5
37917173,434429,2025-10-22,Sports,Cycling Helmet,2,62.9,5,125.8,0.0,9.2,128.71,Bank Transfer,Delivered,Standard,Website,VIP20,5,3
74363652,729914,2025-12-18,Beauty,Electric Toothbrush,1,78.11,19,78.11,5.9,12.65,81.82,Credit Card,Delivered,Standard,Mobile App,SAVE15,4,4
52051597,746011,2025-11-23,Books & Office,Ergonomic Mouse,1,53.66,19,53.66,5.9,8.69,58.05,PayPal,Returned,Standard,Mobile App,,3,
37179586,551094,2025-10-12,Electronics,Smart Watch,2,167.36,15,334.72,0.0,56.9,341.41,Apple Pay,Returned,Standard,Website,WELCOME10,6,
79475262,478691,2025-11-02,Electronics,Mechanical Keyboard,1,80.37,29,80.37,0.0,11.41,68.47,Google Pay,Delivered,Pickup,Website,VIP20,1,4
96815573,215222,2025-01-16,Fashion,Winter Jacket,1,164.8,6,164.8,0.0,30.98,185.89,Bank Transfer,Delivered,Standard,Mobile App,,6,5
